stop_id,stop_name,stop_lat,stop_lon
de:14713:12020,"Althen (Leipzig), Freundschaftsring",51.339904,12.522599
de:14713:12017,"Althen (Leipzig), Oertgering",51.346700,12.519402
de:16077:11941,"Altkirchen (Thür.), Wartehalle",50.932912,12.346431
de:16077:11944,"Altkirchen (Thür.), Wendeschleife",50.932751,12.347957
de:15084:30063,Altköpsen (Hohenmölsen),51.163550,12.057668
de:14522:80136,Altleisnig (Bockelwitz),51.176109,12.898367
de:14522:60025,Altmittweida,50.968704,12.959645
de:14729:30627,"Altmörbitz (Kohren-Sahlis), Abzweig Rüdigsdorf",50.994500,12.570858
de:14729:13086,"Altmörbitz (Kohren-Sahlis), Parkplatz",50.993733,12.566268
de:16077:11104,Altpoderschau (Kriebitzsch),51.019308,12.312709
de:14729:10988,"Altranstädt, August-Bebel-Str.",51.314406,12.174139
de:14729:10986,"Altranstädt, Hirtenstr.",51.316353,12.176943
de:14729:10989,"Altranstädt, Mühlweg",51.314580,12.181956
de:14729:13544,"Altranstädt, Ranstädter Str.",51.313778,12.179046
de:15088:9589,Altweidenbach (Obhausen),51.382910,11.660866
de:14730:17194,Ammelgoßwitz,51.478398,13.153595
de:14729:16791,"Ammelshain (Naunhof), Altenhainer Str.",51.293778,12.648316
de:14729:16792,"Ammelshain (Naunhof), Hauptstr.",51.293854,12.636633
de:14729:16793,"Ammelshain (Naunhof), Polenzer Str.",51.292329,12.642866
de:15087:8011038,Amsdorf,51.463561,11.719790
de:15088:8011043,Angersdorf,51.460407,11.903139
de:15088:39625,"Angersdorf, Ahornstraße",51.457447,11.903089
de:15088:9590,"Angersdorf, An der Feuerwache",51.458627,11.907121
de:15088:9591,"Angersdorf, Kali",51.456227,11.881654
de:15088:39626,"Angersdorf, Lindenring",51.454449,11.899055
de:15088:9592,"Angersdorf, Mühlberg",51.456579,11.899795
de:15088:30835,"Angersdorf, Salzstr.",51.456718,11.905431
de:15088:9593,"Angersdorf, Siedlung",51.452990,11.902057
de:15088:9594,"Angersdorf, Wilhelmshöhe",51.461597,11.909195
de:15091:8011048,Annaburg,51.728680,13.032757
de:16071:8011051,Apolda,51.030940,11.526136
de:15082:8011053,Arensdorf (Köthen),51.709511,12.007416
de:16061:8011054,Arenshausen,51.375055,9.968559
de:14522:60059,"Arnsdorf (Striegistal), Gasthof Quirl",51.014779,13.127405
de:14522:60058,"Arnsdorf (Striegistal), Teich",51.010116,13.129813
de:14730:19891,"Arzberg (Torgau), Gartenstr.",51.528336,13.127724
de:14730:19889,"Arzberg (Torgau), Hauptstr.",51.530484,13.122929
de:14522:80357,"Aschershain (Hartha), Wendestelle",51.078025,12.954107
de:15089:8010009,Aschersleben,51.757122,11.465689
de:15088:9595,"Asendorf, Obhäuser Str.",51.413075,11.734920
de:15088:9596,"Atzendorf (Geusa), Abzweig",51.341324,11.956647
de:14730:19985,"Audenhain (Mockrehna), Abzweig Schildau",51.502950,12.857320
de:14730:17196,"Audenhain (Mockrehna), Abzweig Strelln",51.493002,12.829727
de:14730:11194,"Audenhain (Mockrehna), Heide",51.504411,12.860757
de:14730:11966,"Audenhain (Mockrehna), Huxel",51.511102,12.868357
de:14730:11191,"Audenhain (Mockrehna), Kirche",51.493085,12.830757
de:14730:11192,"Audenhain (Mockrehna), Post",51.497714,12.840150
de:14730:11118,"Audenhain (Mockrehna), Waage",51.501130,12.848679
de:14729:12879,Audigast (Groitzsch),51.171196,12.288651
de:15084:4348,Aue (Molau),51.058655,11.801480
de:14729:12351,"Auenhain (Markkleeberg), Fasanenweg",51.264736,12.432006
de:14729:5887,"Auenhain (Markkleeberg), Kanupark",51.256552,12.428071
de:14729:12348,"Auenhain (Markkleeberg), Seepark",51.258210,12.431634
de:14522:80353,Auerschütz (Ostrau),51.210079,13.124297
de:14729:10668,Auligk (Groitzsch),51.107357,12.237049
de:15084:3454,Aupitz (Granschütz),51.173792,12.036619
de:14522:88063,Auterwitz (Zschaitz-Ottewig),51.159400,13.198975
de:14730:11512,Authausen (Laußig),51.591096,12.679757
de:14730:11513,"Authausen (Laußig), Grundschule",51.593366,12.678771
de:14730:17197,Außig (Cavertitz),51.403481,13.189684
de:15089:8010013,Baalberge,51.763048,11.784682
de:14713:11350,"Baalsdorf (Leipzig), Baalsdorfer Str.",51.323396,12.480503
de:14713:11353,"Baalsdorf (Leipzig), Brandiser Str.",51.323714,12.475012
de:14713:11351,"Baalsdorf (Leipzig), Kirchweg",51.322801,12.487806
de:14713:12013,"Baalsdorf (Leipzig), Zaucheweg",51.320800,12.493696
de:14729:16837,Bach (Bennewitz),51.317578,12.738374
de:15084:4309,"Bad Bibra, Bad",51.210770,11.600825
de:15084:5696,"Bad Bibra, Käserei",51.208907,11.589184
