from_stop_id,to_stop_id,transfer_type,min_transfer_time
de:14713:10856,de:14713:8010208,2,300
de:14730:10868,de:14730:8012046,2,120
de:14730:10870,de:14730:8012141,2,600
de:14730:10873,de:14730:13147,2,540
de:14730:10873,de:14730:8012697,2,180
de:14730:10875,de:14730:12011,2,300
de:14730:10878,de:14730:12736,2,720
de:14730:10878,de:14730:12737,2,300
de:14730:10943,de:14730:11229,2,420
de:14730:10949,de:14730:8013428,2,300
de:14730:10950,de:14730:11499,2,180
de:14730:10978,de:14730:11180,2,360
de:14713:10983,de:14713:8012184,2,360
de:14729:10993,de:14729:8011753,2,180
de:14729:10998,de:14729:8012308,2,300
de:14729:11000,de:14729:8012304,2,480
de:14729:11014,de:14729:11016,2,360
de:14729:11014,de:14729:8012416,2,360
de:14729:11016,de:14729:11014,2,360
de:14729:11016,de:14729:16998,2,180
de:14729:11016,de:14729:8012416,2,180
de:14729:11018,de:14729:11098,2,180
de:14730:11066,de:14730:12811,2,180
de:14730:11066,de:14730:15865,2,480
de:14730:11066,de:14730:8013093,2,480
de:14713:11069,de:14713:8080930,2,600
de:14729:11093,de:14729:12548,2,300
de:14729:11093,de:14729:8011755,2,360
de:14729:11094,de:14729:12549,2,480
de:14729:11094,de:14729:8012526,2,360
de:14729:11098,de:14729:11018,2,180
de:14713:11102,de:14713:10762,2,180
de:14713:11122,de:14713:10795,2,180
de:14713:11129,de:14713:12268,2,180
de:14713:11129,de:14713:13553,2,180
de:14729:11147,de:14729:8010243,2,180
de:14730:11153,de:14730:11172,2,240
de:14730:11153,de:14730:11499,2,540
de:14730:11155,de:14730:8010076,2,300
de:14730:11157,de:14730:11620,2,120
de:14730:11161,de:14730:8080280,2,780
de:14713:11167,de:14713:8011913,2,180
de:14730:11172,de:14730:11153,2,240
de:14730:11172,de:14730:11499,2,300
de:14730:11180,de:14730:10978,2,360
de:14713:11212,de:14713:13007,2,180
de:14730:11225,de:14730:13101,2,600
de:14730:11227,de:14730:13147,2,120
de:14730:11229,de:14730:10943,2,420
de:14730:11264,de:14730:16760,2,300
de:14713:11277,de:14713:8012190,2,480
de:14730:11283,de:14730:15865,2,420
de:14730:11283,de:14730:8013093,2,480
de:14713:11284,de:14713:11296,2,120
de:14713:11296,de:14713:11284,2,120
de:15002:11316,de:15002:5438,2,180
de:15002:11316,de:15002:8010159,2,420
de:15002:11316,de:15002:8070814,2,300
de:14713:11318,de:14713:30699,2,360
de:14713:11318,de:14713:8012200,2,360
de:14713:11320,de:14713:12967,2,120
de:14713:11321,de:14713:8012181,2,420
de:14713:11324,de:14713:8012204,2,300
de:14713:11325,de:14713:8012200,2,300
de:14713:11327,de:14713:8012194,2,420
de:14713:11331,de:14713:8011491,2,420
de:14713:11336,de:14713:8012194,2,300
de:14713:11343,de:14713:8012187,2,720
de:14713:11389,de:14713:8012285,2,1320
de:14713:11393,de:14713:11531,2,240
de:14713:11395,de:14713:8012204,2,840
de:14713:11407,de:14713:8012196,2,420
de:14713:11412,de:14713:10811,2,480
de:14713:11412,de:14713:12995,2,600
de:14713:11412,de:14713:13000,2,300
de:14713:11412,de:14713:15738,2,300
de:14713:11412,de:14713:8010205,2,480
de:14713:11412,de:14713:8098205,2,600
de:16077:11434,de:16077:11435,2,300
de:16077:11434,de:16077:20087,2,120
de:16077:11435,de:16077:11434,2,300
de:16077:11435,de:16077:20087,2,300
de:14729:11442,de:14729:8011242,2,420
de:14729:11459,de:14729:8012463,2,600
de:14730:11499,de:14730:10950,2,180
de:14730:11499,de:14730:11153,2,540
de:14730:11499,de:14730:11172,2,300
de:14730:11505,de:14730:13138,2,300
de:14713:11524,de:14713:12558,2,300
de:14713:11531,de:14713:11393,2,240
de:14713:11542,de:14713:10856,2,180
de:14713:11542,de:14713:8010208,2,480
de:14730:11545,de:14730:11548,2,120
de:14730:11546,de:14730:20173,2,360
de:14730:11548,de:14730:11545,2,120
de:14730:11552,de:14730:12604,2,120
de:14730:11552,de:14730:12606,2,480
de:14713:11558,de:14713:8012187,2,1200
de:14729:11576,de:14729:8013361,2,180
de:14729:11581,de:14729:8010122,2,300
de:14713:11584,de:14713:8012202,2,360
de:14522:80236,de:14522:55206,2,240
de:14729:11616,de:14729:8011588,2,300
de:14730:11620,de:14730:11157,2,120
de:14729:11647,de:14729:8011745,2,240
de:14729:11648,de:14729:8011598,2,240
de:16052:152188,de:16052:8010125,2,300
de:14730:11681,de:14730:8080280,2,180
de:14713:11692,de:14713:12205,2,120
de:14713:11699,de:14713:8010186,2,180
de:14713:11702,de:14713:8012344,2,300
de:14729:11724,de:14729:8012241,2,600
de:16077:11727,de:16077:8013138,2,180
de:14729:11754,de:14729:8012731,2,480
de:14713:11770,de:14713:8012817,2,360
de:14713:11788,de:14713:10818,2,180
de:16077:11800,de:16077:8012889,2,180
de:14729:11814,de:14729:8012311,2,600
de:14729:11815,de:14729:9889,2,180
de:14729:11815,de:14729:9894,2,180
de:14729:11820,de:14729:8012311,2,300
de:16077:11851,de:16077:8012509,2,360
de:14522:55201,de:14522:55201,2,180
de:14730:11858,de:14730:20031,2,240
de:14730:11869,de:14730:8012371,2,180
de:14730:11896,de:14730:19955,2,180
de:14729:11917,de:14729:6479,2,300
de:14713:11950,de:14713:8010008,2,180
de:14522:80163,de:14522:80102,2,60
de:14730:12011,de:14730:10875,2,300
de:14713:12032,de:14713:8011491,2,240
de:14713:12073,de:14713:12075,2,180
de:14713:12075,de:14713:12073,2,180
de:14713:12080,de:14713:8012343,2,480
de:14730:12108,de:14730:12111,2,360
de:14730:12108,de:14730:12518,2,360
de:14730:12111,de:14730:12108,2,360
de:14729:12116,de:14729:8010269,2,300
de:14729:12141,de:14729:8013447,2,300
de:14713:12145,de:14713:8012186,2,300
de:14730:12163,de:14730:8012656,2,480
de:14713:12175,de:14713:12287,2,240
de:14713:12205,de:14713:11692,2,120
de:14713:12217,de:14713:8012192,2,240
de:14713:12250,de:14713:30043,2,180
de:14713:12252,de:14713:15811,2,120
de:14713:12253,de:14713:30042,2,180
de:14713:12265,de:14713:8011495,2,480
de:14713:12268,de:14713:11129,2,180
de:14713:12270,de:14713:8012375,2,300
de:14713:12285,de:14713:8080840,2,360
de:14713:12287,de:14713:12175,2,240
de:14713:12288,de:14713:8080840,2,660
de:14713:12316,de:14713:8012236,2,360
de:14713:12318,de:14713:8012236,2,480
de:14713:12327,de:14713:8011771,2,480
de:14729:12361,de:14729:8010238,2,360
de:14730:12378,de:14730:8012097,2,360
de:14713:12399,de:14713:12403,2,300
de:14713:12399,de:14713:8011913,2,420
de:14713:12403,de:14713:12399,2,300
de:14713:12405,de:14713:8012197,2,300
de:14730:12461,de:14730:12481,2,300
de:14730:12481,de:14730:12461,2,300
de:14729:12482,de:14729:13450,2,180
de:14729:12487,de:14729:12895,2,300
de:14729:12504,de:14729:8011371,2,600
de:14729:12509,de:14729:30300,2,300
de:14729:12509,de:14729:8011077,2,240
de:16077:12511,de:16077:8010003,2,420
de:14730:12514,de:14730:12515,2,300
de:14730:12515,de:14730:12514,2,300
de:14730:12518,de:14730:12108,2,360
de:14729:12548,de:14729:6475,2,180
de:14729:12548,de:14729:11093,2,300
